FAMILIARITY: Autonomous Car,FAMILIARITY: Home,FAMILIARITY: Toy,FAMILIARITY: Manufacturing,FAMILIARITY: Military,FAMILIARITY: Paro,FAMILIARITY: Remote Presence,FAMILIARITY: Research,FAMILIARITY: Lawn,FAMILIARITY: Guard,FAMILIARITY: Space,FAMILIARITY: Surgical,FAMILIARITY: Unmanned,TRUST: Count On,TRUST: Depend On,TRUST: Reliable,TRUST: Faith ,TRUST: Capable ,TRUST: Diligent ,TRUST: Rigorous,TRUST: Accurate 
3,3,3,3,2,1,1,3,3,2,3,3,3,4,4,4,4,4,4,3,4
3,5,3,3,3,1,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4
3,2,0,3,3,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,1,1,2,2,3,3,3,3,4,4,4,4,4,3,4,4
3,2,1,3,3,1,1,1,3,1,3,3,3,4,3,3,3,4,3,3,3
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,1,1,3,3,3,3,3,3,5,5,3,4,4,5,5,5
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,3,3,2,2,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,
3,3,1,1,3,1,1,3,3,2,3,4,3,3,3,3,3,3,3,3,3
